Id,Label,ns:computer.programming_language.introduced
ns:m.03j02v,IMP programming language,
ns:m.03j_q,Haskell,1990
ns:m.03jdp,HyperCard,
ns:m.03jzh1,FOCUS,
ns:m.03ks39,T,
ns:m.03m5s2,ZPL,
ns:m.03m66l,A+,1988
ns:m.03m68b,K,1993
ns:m.03m7hp,Factor,2003
ns:m.03m7kh,FISh programming language,
ns:m.03m_kt,Thue,
ns:m.03mc99n,Tensilica Instruction Extension,
ns:m.03mk2z,MXML,
ns:m.03n0b_,FP,1977
ns:m.03n27r,F-Script,
ns:m.03n98y,Blue,
ns:m.03n9f5,XPL,
ns:m.03n9v6,Unicon,
ns:m.03nk21,LPC,
ns:m.03nnsbc,Paradiseo,
ns:m.03nt42b,PL360,
ns:m.03ny70,Euler,1965
ns:m.03nyb7,Lithe,
ns:m.03nyxs,Perl Data Language,
ns:m.03p5b2,LEAP,
ns:m.03pn6s,WCL programming language,
ns:m.03ppzh,SETL,1969
ns:m.03pv49,ConTeXt,
ns:m.03pwv0,ProSet,
ns:m.03pxm2,S,1976
ns:m.03py_v,Snowball,
ns:m.03pyfq,NESL,1993
ns:m.03pzqn,SETL2,
ns:m.03qt76,REFAL programming language,
ns:m.03qtjn,MPD,
ns:m.03qtl5,Water programming language,
ns:m.03qtqr,TYRO,
ns:m.03qtzr,Zeno,
ns:m.03qv0h,ACC,
ns:m.03r1wd,Claire,1994
ns:m.03r370,ROOP,
ns:m.03r43d,MLisp,
ns:m.03r8mt,Hope,
ns:m.03r9by,Agora,
ns:m.03r9fn,Afnix programming language,
ns:m.03r9j8,Algebraic Logic Functional programming language,
ns:m.03r9yp,Alma-0,2004
ns:m.03rb5n,APLX,
ns:m.03rbwc,FP84,
ns:m.03rc5q,FFP programming language,
ns:m.03rky7,Gödel,1992
ns:m.03rz6d,MultiLisp,
ns:m.03rz_p,M2001,
ns:m.03s53r,ALGOL 58,1958
ns:m.03s8dh,Cilk,1994
ns:m.03s_02,Edinburgh IMP,
ns:m.03sbx4,ALGOL X,
ns:m.03sbxv,ALGOL N,
ns:m.03sjgv,Aldor,
ns:m.03sk94,Abel programming language,
ns:m.03skrk,Elliott ALGOL,
ns:m.03sktd,NPL,
ns:m.03skwk,ALGOL Y,
ns:m.03sl11,NELIAC,
ns:m.03t6q1,Bon,
ns:m.03t8dm,Extensible ML,
ns:m.03t8dz,O'Haskell,
ns:m.03t8kk,Extended ML,
ns:m.03tr0,Icon,1977
ns:m.03tsq7,ColdFusion Markup Language,1995
ns:m.03v8l9,Datalog,1978
ns:m.03vbxj,Not Quite C,
ns:m.03vk1n,Fuzzy Control Language,
ns:m.03wfgb,POP-2,
ns:m.03wxr,INTERCAL,1972
ns:m.03x4dw,lush,1987
ns:m.03x8qv,TELCOMP,
ns:m.03y8knn,VLISP,
ns:m.03yb8hb,Clojure,2007
ns:m.03z51v,COMIT,1957
ns:m.0403j0,IBM PL/S,
ns:m.04043kd,Pnuts,1997
ns:m.04050bb,Fuxi Programming Language,
ns:m.0407ljj,Not eXactly C,
ns:m.04093_t,JAWS Scripting Language,
ns:m.040_6qz,Heron,
ns:m.040lj9,SystemC,
ns:m.040ysg,Cel,1998
ns:m.040zrk,Cω,2003
ns:m.0412d23,Visual Assembler,
ns:m.0416cz,Variable Data Intelligent Postscript Printware,
ns:m.0419cp,Felix,
ns:m.0420zs3,Smalltalk YX,
ns:m.0428xx,Unified Parallel C,
ns:m.042tk1,Oaklisp,1986
ns:m.042tm7,OBJ,
ns:m.042tmy,OBJ2,
ns:m.042tn8,OBJ3,
ns:m.042ttz,Object Lisp,
ns:m.042tvq,ObjectLOGO,
ns:m.042tyz,Object Oberon,
ns:m.042v27,Object-Oriented Turing,1991
ns:m.042v5f,ObjVlisp,
ns:m.042v6x,Le Lisp,
ns:m.042v7y,Oblog,
ns:m.042v9b,OCAL,
ns:m.042vdv,QUIKTRAN,
ns:m.042vf5,QUIKSCRIPT,
ns:m.042vfh,SIMSCRIPT,
ns:m.042vgj,C*,1987
ns:m.0438mc,RTML,
ns:m.043fdy,OpenEdge Advanced Business Language,
ns:m.043jn7w,Nu,2007
ns:m.043mmnj,Einstein,
ns:m.044cfc,High Performance Fortran,
ns:m.045bb9c,Design By Numbers,
ns:m.045m834,APL\\360,
ns:m.045m83b,I-APL,
ns:m.045m83k,APL*PLUS,
ns:m.045m840,APL2,
ns:m.046n54,Piet,
ns:m.047qn2,CHIP-8,
ns:m.047r16w,PCASTL,2008
ns:m.047sfsb,UCBLogo,1992
ns:m.048z5w,GameMonkey Script,
ns:m.0490j1,LiveCode,
ns:m.0497m,Kvikkalkul,
ns:m.049b0_,WATFIV,
ns:m.04_6bg9,Alpha,
ns:m.04b9q6,Perl 6,2000
ns:m.04bd1c,Boo,2003
ns:m.04bkds,ALGO,
ns:m.04bq33,Hugo,
ns:m.04c_c,KL0,
ns:m.04cvblj,LYaPAS,
ns:m.04cz5,KISS,
ns:m.04d12,KL-ONE,
ns:m.04d5t6,FOCAL,
ns:m.04d88,Kent Recursive Calculator,1981
ns:m.04d8z,KRL,1976
ns:m.04dxh8,IronPython,
ns:m.04dy1h,ELAN,1974
ns:m.04f07kc,XPL0,
